istaigos_kodas;gydytojo_ID;iraso_sukurimo_data;Apylinkės tipas;Etatinis darbo krūvis
124243990;15;2021-01-23 18:07;1;1,25
124243990;16;2021-01-23 18:07;1;1,25
124243990;18;2021-01-23 18:07;4;1,0
124243990;20;2021-01-23 18:07;4;1,1
124243990;24;2021-01-23 18:07;4;1,25
124243990;29;2021-01-23 18:07;4;1,0
124243990;30;2021-01-23 18:07;1;1,25
124243990;37;2021-01-23 18:07;4;1,0
124243990;38;2021-01-23 18:07;3;1,1
124243990;41;2021-01-23 18:07;4;1,1
124243990;49;2021-01-23 18:07;3;1,25
124243990;52;2021-01-23 18:07;4;1,2
124243990;190;2021-01-23 18:07;4;1,0
124243990;204;2021-01-23 18:08;4;1,25
124243990;294;2021-01-23 18:08;4;1,0
