istaigos_kodas;gydytojo_ID;laisvos_registracijos data;iraso_sukurimo_data
124243990;15;2020-12-16 12:00;2020-12-15 02:55
124243990;15;2020-12-16 12:15;2020-12-15 02:55
124243990;15;2020-12-16 12:30;2020-12-15 02:55
124243990;15;2020-12-16 12:45;2020-12-15 02:55
124243990;15;2020-12-16 13:45;2020-12-15 02:55
124243990;15;2020-12-16 14:00;2020-12-15 02:55
124243990;15;2020-12-16 14:15;2020-12-15 02:55
124243990;15;2020-12-16 14:30;2020-12-15 02:55
124243990;15;2020-12-16 14:45;2020-12-15 02:55
124243990;15;2020-12-16 15:30;2020-12-15 02:55
124243990;15;2020-12-16 15:45;2020-12-15 02:55
124243990;15;2020-12-16 16:00;2020-12-15 02:55
124243990;15;2020-12-16 16:15;2020-12-15 02:55
124243990;15;2020-12-16 16:30;2020-12-15 02:55
124243990;15;2020-12-16 16:45;2020-12-15 02:55
124243990;15;2020-12-16 17:00;2020-12-15 02:55
124243990;15;2020-12-16 17:15;2020-12-15 02:55
124243990;15;2020-12-16 18:00;2020-12-15 02:55
124243990;15;2020-12-16 18:15;2020-12-15 02:55
124243990;15;2020-12-17 08:15;2020-12-15 02:55
124243990;15;2020-12-17 08:30;2020-12-15 02:55
124243990;15;2020-12-17 08:45;2020-12-15 02:55
124243990;15;2020-12-17 09:00;2020-12-15 02:55
124243990;15;2020-12-17 09:15;2020-12-15 02:55
124243990;15;2020-12-17 09:45;2020-12-15 02:55
124243990;15;2020-12-17 10:15;2020-12-15 02:55
124243990;15;2020-12-17 11:30;2020-12-15 02:55
124243990;15;2020-12-17 12:00;2020-12-15 02:55
124243990;15;2020-12-17 12:15;2020-12-15 02:55
124243990;15;2020-12-17 12:30;2020-12-15 02:55
124243990;15;2020-12-17 12:45;2020-12-15 02:55
124243990;15;2020-12-17 13:15;2020-12-15 02:55
124243990;15;2020-12-17 13:30;2020-12-15 02:55
124243990;15;2020-12-17 13:45;2020-12-15 02:55
124243990;15;2020-12-17 14:00;2020-12-15 02:55
124243990;15;2020-12-17 14:15;2020-12-15 02:55
124243990;15;2020-12-17 14:30;2020-12-15 02:55
124243990;15;2020-12-17 14:45;2020-12-15 02:55
124243990;15;2020-12-18 12:00;2020-12-15 02:55
124243990;15;2020-12-18 12:15;2020-12-15 02:55
124243990;15;2020-12-18 12:30;2020-12-15 02:55
124243990;15;2020-12-18 12:45;2020-12-15 02:55
124243990;15;2020-12-18 13:00;2020-12-15 02:55
124243990;15;2020-12-18 13:15;2020-12-15 02:55
124243990;15;2020-12-18 13:30;2020-12-15 02:55
124243990;15;2020-12-18 13:45;2020-12-15 02:55
124243990;15;2020-12-18 14:00;2020-12-15 02:55
124243990;15;2020-12-18 14:15;2020-12-15 02:55
124243990;15;2020-12-18 14:30;2020-12-15 02:55
124243990;15;2020-12-18 15:45;2020-12-15 02:55
124243990;15;2020-12-18 16:00;2020-12-15 02:55
124243990;15;2020-12-18 16:15;2020-12-15 02:55
124243990;15;2020-12-18 16:45;2020-12-15 02:55
124243990;15;2020-12-18 17:00;2020-12-15 02:55
124243990;15;2020-12-18 17:15;2020-12-15 02:55
124243990;15;2020-12-18 17:30;2020-12-15 02:55
124243990;15;2020-12-18 17:45;2020-12-15 02:55
124243990;15;2020-12-18 18:00;2020-12-15 02:55
124243990;15;2020-12-18 18:15;2020-12-15 02:55
124243990;15;2020-12-28 12:00;2020-12-15 02:55
